study_accession	run_accession	instrument_model	sample_name	fastq_md5	fastq_ftp	species	citation	latitude	longitude	note
PRJNA245911	SRR1463025	Illumina HiSeq 2000	1719-4	0f2a5211978ff5348006429649fe0d34;067f8081c28be9ce5de40e9a35b9fbd4	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR146/005/SRR1463025/SRR1463025_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR146/005/SRR1463025/SRR1463025_2.fastq.gz	Capsella orientalis	Agren et al. BMC Genomics 2014	48.35	88.26	
PRJNA245911	SRR1481499	Illumina HiSeq 2000	1979-7	bf957bfa1247546642e71293e789eb2b;3ccfd346c1957d68352e0eb27e5e2fac	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/009/SRR1481499/SRR1481499_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/009/SRR1481499/SRR1481499_2.fastq.gz	Capsella orientalis	Agren et al. BMC Genomics 2014	51.07	81.48	
PRJNA245911	SRR1481500	Illumina HiSeq 2000	1979-1	063cb6d7a62070e89b40c01ffa6ba60c;9b39ee5b67f18ddfe866f7655f8fdc1e	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/000/SRR1481500/SRR1481500_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/000/SRR1481500/SRR1481500_2.fastq.gz	Capsella orientalis	Agren et al. BMC Genomics 2014	51.07	81.48	
PRJNA245911	SRR1481617	Illumina HiSeq 2000	1719-3	97e654a8e32c6d5abbbe6ae959c1513f;5bbb71a6603fbb072871a36919559b74	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/007/SRR1481617/SRR1481617_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/007/SRR1481617/SRR1481617_2.fastq.gz	Capsella orientalis	Agren et al. BMC Genomics 2014	48.35	88.26	
PRJNA245911	SRR1481618	Illumina HiSeq 2000	1981-10	177bd08340102a8c18b0ce70fc3cf522;1ceeb970d256047dabab155ff015dba5	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/008/SRR1481618/SRR1481618_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/008/SRR1481618/SRR1481618_2.fastq.gz	Capsella orientalis	Agren et al. BMC Genomics 2014	51.08	81.36	
PRJNA245911	SRR1481625	Illumina HiSeq 2000	1981-6	4050bdbb71a44b0700d99e8b4e1e9a8d;4b7b42f3df835435a8a17dda60d5a765	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/005/SRR1481625/SRR1481625_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/005/SRR1481625/SRR1481625_2.fastq.gz	Capsella orientalis	Agren et al. BMC Genomics 2014	51.08	81.36	
PRJNA245911	SRR1481626	Illumina HiSeq 2000	1985-1	86dcc8e8b4fa97568400559f50f7c4f7;6b4b014520afaa66f14d4506dc25cfbb	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/006/SRR1481626/SRR1481626_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/006/SRR1481626/SRR1481626_2.fastq.gz	Capsella orientalis	Agren et al. BMC Genomics 2014	53.21	83.44	
PRJNA245911	SRR1481627	Illumina HiSeq 2000	2008-09-01	470935114bb6cb2c641221ef0e6d85d6;3a248459c992b1d4dfd77a6de7a47439	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/007/SRR1481627/SRR1481627_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/007/SRR1481627/SRR1481627_2.fastq.gz	Capsella orientalis	Agren et al. BMC Genomics 2014	NA	NA	
PRJNA245911	SRR1481628	Illumina HiSeq 2000	2008-07-01	659468f12c0ab0be768a27db024eefa7;71ad2b2c80488278d1afa64959f45cf4	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/008/SRR1481628/SRR1481628_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/008/SRR1481628/SRR1481628_2.fastq.gz	Capsella orientalis	Agren et al. BMC Genomics 2014	NA	NA	
PRJNA245911	SRR1481629	Illumina HiSeq 2000	Co2008-1	0d6c88aec049fe89a6ab45f40e732743;7576ac9f88d74f18afd46597e245dcca	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/009/SRR1481629/SRR1481629_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR148/009/SRR1481629/SRR1481629_2.fastq.gz	Capsella orientalis	Agren et al. BMC Genomics 2014	NA	NA	
PRJEB6689	ERR636107	Illumina HiSeq 2000	1982-9	db9106e89a7fed31ffed41d3db852f4a;6959cde48dbc8b2e6e4466e73cc8b9cf	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636107/ERR636107_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636107/ERR636107_2.fastq.gz	Capsella orientalis	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	51.5	81.2166667	
PRJEB6689	ERR636108	Illumina HiSeq 2000	1983-6	c31c141e1be4a38efd4a465dc34e54a0;6345f6509583ab431afb65f88635f91e	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR636/ERR636108/DKCo_11_1983-6.1.fq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR636/ERR636108/DKCo_11_1983-6.2.fq.gz	Capsella orientalis	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	51.3666667	82.2	
